run_id,depth,iteration,prove_wall_ms,prove_log_ms,verify_wall_ms,proof_size_bytes,proof_path,prove_log_path,verify_log_path
11,16,1,8513,8390,72,14349849,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run1_proof.json,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run1_prove.log,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run1_verify.log
12,16,2,9405,9320,69,14349849,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run2_proof.json,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run2_prove.log,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run2_verify.log
13,16,3,8472,8360,66,14349849,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run3_proof.json,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run3_prove.log,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run3_verify.log
14,16,4,8277,8170,64,14349849,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run4_proof.json,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run4_prove.log,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run4_verify.log
15,16,5,8548,8450,69,14349849,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run5_proof.json,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run5_prove.log,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run5_verify.log
16,16,6,8667,8580,65,14349849,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run6_proof.json,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run6_prove.log,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run6_verify.log
17,16,7,8383,8270,63,14349849,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run7_proof.json,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run7_prove.log,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run7_verify.log
18,16,8,8707,8600,64,14349849,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run8_proof.json,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run8_prove.log,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run8_verify.log
19,16,9,8818,8700,66,14349849,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run9_proof.json,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run9_prove.log,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run9_verify.log
20,16,10,8631,8530,67,14349849,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run10_proof.json,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run10_prove.log,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run10_verify.log
21,20,1,10454,10370,65,14436847,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_20_run1_proof.json,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_20_run1_prove.log,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_20_run1_verify.log
22,20,2,13634,13490,67,14436847,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_20_run2_proof.json,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_20_run2_prove.log,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_20_run2_verify.log
23,20,3,11472,11360,64,14436847,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_20_run3_proof.json,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_20_run3_prove.log,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_20_run3_verify.log
